oID,PID,CIDX,Poster,Gender,CDate,Cmt,CLike,Date,Time
226248081-6,226248081,6,臺北醫學大學,m,4月25日 04:20,也不至於到威脅的口吻吧 可以討論啊況且這附近的房東 十之八九都逃漏稅的 他們本來就有問題,0,2017/4/25,04:20
226248081-7,226248081,7,臺北醫學大學,m,4月25日 04:21,況且也能先住進去 再要求少一個月房租啊 如果他不讓你少 你就去報稅 報稅本來就天經地義的事情吧,0,2017/4/25,04:21
226237450-1,226237450,1,臺北醫學大學,f,4月22日 02:43,會的話你要來嗎XD,2,2017/4/22,02:43
226237450-2,226237450,2,臺北醫學大學,f,4月22日 02:45,有膽蹺課，就不要在那邊問要不要點名。課業是你自己的，都已經19～20歲了，能不能為你自己負責阿= =你覺得有事情比你上課重要就去啊，幹嘛問要不要點名。請假很難請嗎,49,2017/4/22,02:45
226237450-3,226237450,3,臺北醫學大學,f,4月22日 03:53,問一下又不會死人家就是喜歡選不點名的課啊,6,2017/4/22,03:53
226237450-4,226237450,4,原PO - 臺北醫學大學,f,4月22日 05:55,會的話就應該會去吧～??,0,2017/4/22,05:55
226237450-5,226237450,5,臺北醫學大學,f,4月22日 05:55,B3 笑死人，你在期中選課的喔？可能全北醫就你現在在選課吧？解剖你以為是在選通識喔？還先問誰不點名咧你有本事不上課，不要被當，誰管你啊。而且，人家擺明「下禮拜不想上課」，你還要護航什麼？,6,2017/4/22,05:55
226237450-6,226237450,6,原PO - 臺北醫學大學,f,4月22日 06:12,嗯嗯大家和氣和氣@@所以還是沒有人知道嗎～?QQ,0,2017/4/22,06:12
226237450-7,226237450,7,臺北醫學大學,m,4月22日 10:04,他不點名，但解剖我不建議翹，可能不是每個科系都很實用，但對多數學生來說是偏難的一門課，大一最大的大刀就這門課了,5,2017/4/22,10:04
226237450-8,226237450,8,原PO - 臺北醫學大學,f,4月22日 10:21,謝謝你喔～??因為我覺得解剖自己讀也還ok啦～?滴卡還是有溫暖的存在啊～,0,2017/4/22,10:21
226237450-9,226237450,9,臺北醫學大學,m,4月22日 12:43,挑不點名的課翹不是很正常嗎某樓是在激動啥,11,2017/4/22,12:43
226237450-10,226237450,10,臺北醫學大學,m,4月22日 13:02,只是翹了就得自己負擔後果，翹之前先想一下自己有沒有實力翹課,1,2017/4/22,13:02
226237450-11,226237450,11,臺北醫學大學 牙醫學系,f,4月22日 14:50,B2 正義魔人？,6,2017/4/22,14:50
226237450-12,226237450,12,臺北醫學大學,m,4月22日 15:00,倫家就想問嘛( ?▽` )?北醫的大家94太愛嗆人了才會沒人po文,9,2017/4/22,00:00
226237450-13,226237450,13,原PO - 臺北醫學大學,f,4月22日 15:31,哈哈樓上好可愛??翹課的前提當然是應該不會被當啊?,0,2017/4/22,15:31
226237450-14,226237450,14,臺北醫學大學,f,4月22日 16:26,支持 B2，不喜歡有僥倖心態的人。喜歡翹課就不要怕被當。,2,2017/4/22,16:26
226237450-15,226237450,15,臺北醫學大學 醫學檢驗暨生物技術學系,m,4月22日 19:30,樓上激動屁 一定是人生第一次蹺課結果就被抓了你不想看可以滑掉 不爽回答可以不要說話啊人家問一下有差嗎 你也可以留言說那個老師每一堂都點名 上課前 下課後都點也行啊根本有病,5,2017/4/22,19:30
226237450-16,226237450,16,臺北醫學大學,m,4月22日 20:41,B14 可是我就是專挑不點名的翹學期成績才能有前10不然光翹的堂數就夠我被21了吧,5,2017/4/22,20:41
226237450-17,226237450,17,原PO - 臺北醫學大學,f,4月22日 20:53,樓上翹課達人4ni?!@@前10也太強了吧！不過也不是每個人都可以這樣啦??有些人就是看不慣別人翹課吧？我是覺得人如果真的很少對老師會有點不好意思不過既然不點名代表老師也不會很計較吧？每個人都有自己的原則啊～我雖然會翹不點名的課但是我不會找人代簽之類的因為老師如果會發簽點單就是希望我們去上課啊～那像必修的微積分.解剖等等老師不點名而我還是有讀懂他教的內容我是覺得翹課雖然抱著僥倖心態可是也不算太壞吧～尊重.友善.包容哈哈要吵架的話不是已經有黑特了嗎？?,1,2017/4/22,20:53
226237450-18,226237450,18,臺北醫學大學,f,4月23日 08:16,B15 我從沒翹過課，以及，我沒激動。單純看不慣一些人而已。順帶一提，你講話那麼難聽失禮，建議看個牙科，應該有口臭。B16 我不翹也拿前幾名，習慣翹課沒有比較了不起。B0真不知道你們那麼愛蹺課為什麼要繳學費上學，這種問題根本不該拿出來問。,2,2017/4/23,08:16
226237450-19,226237450,19,臺北醫學大學 醫學系,m,4月23日 10:39,沒差吧解剖還不是自己念,4,2017/4/23,10:39
226237450-20,226237450,20,臺北醫學大學 醫學系,f,4月23日 12:08,慶祥只有在大體實點過名而已，而且只有兩次，所以不怕，不過我覺得在block考得微難~,3,2017/4/23,12:08
226237450-21,226237450,21,原PO - 臺北醫學大學,f,4月23日 18:51,謝謝樓上學姐~~??然後某樓不好意思喔我是領獎學金的不用繳學費,1,2017/4/23,18:51
226237450-22,226237450,22,臺北醫學大學,f,4月28日 07:53,我不是某樓但學妹妳也是滿浪費獎學金的啦ㄏㄏ發獎學金給妳真的是浪費欸^_^要翹不翹要不要自己讀的確是自己負責但要翹還問要不要點名就真的頗ㄏ,0,2017/4/28,07:53
226237450-23,226237450,23,原PO - 臺北醫學大學,f,4月28日 09:49,ㄏㄏ妳覺得浪費我覺得不會啊要不然我填國立的就好幹嘛填北醫ㄏ,0,2017/4/28,09:49
226237450-24,226237450,24,臺北醫學大學,f,4月28日 15:38,"嗯看來妳真的看不懂意思呢^ω^了解一下別人的語意比較好唷還有人外有人天外有天不用自以為很厲害什麼的獎學金讀書不代表就最厲害真的我也拿卷啊我也拿書卷獎獎學金讀書啊但我想翹就翹也不會還問點不點名啊我自己負責的起就夠了所以這真的沒什麼了不起的學習尊重跟對自己負責比較重要好的人品好的態度才決定一切我現在沒有要跟妳吵架的意思但我真心覺得妳這樣的態度以後會吃虧我明白難免都會想翹但是要翹就不要問點名不點名這樣乖乖上課的同學也不公平這我想不用我解釋，妳19,20歲了也知道吧！B2 的同學也只是點出了事實不用腦羞真的喔對了妳這樣對學姐說話真的是超級沒禮貌的去醫院或哪個場域工作妳繼續這樣的態度真的會被噹死純粹給建議啦愛看不看隨妳想繼續當個沒素質的學妹也是妳家的事反正妳的人生妳自己負責可能妳現在很腦羞很聽不進去啦但以後怎樣就看妳自己囉^_^",0,2017/4/28,15:38
226233084-1,226233084,1,臺北醫學大學,f,4月21日 12:20,男生不是只要有抽就有宿舍住嗎？你們那邊還剩４間空房不是嗎？,0,2017/4/21,12:20
226233084-2,226233084,2,臺北醫學大學,f,4月21日 15:48,我跟你相反，一開始是拜拜求抽中，結果我後來找到外面不錯的租屋，然後就改拜拜，千萬別讓我中XDDDD,0,2017/4/21,15:48
226233084-3,226233084,3,臺北醫學大學,m,4月21日 18:21,嗚嗚嗚嗚嗚嗚高價收宿舍床位意者密,0,2017/4/21,18:21
226233084-4,226233084,4,臺北醫學大學 藥學系,m,4月22日 19:08,八卦有啥稀奇......我室友之前就帶女友來住，天天打炮，上廁所門鎖著，傳來女聲的「有人」然後後來室友就進去%%%女的住了有一個月吧  間斷的來地上床上到處都是保險套跟包裝,0,2017/4/22,19:08
226233084-5,226233084,5,臺北醫學大學,m,4月22日 20:38,B4 你沒喊play one?,0,2017/4/22,20:38
226233084-6,226233084,6,臺北醫學大學 藥學系,m,4月23日 15:35,B5 沒有啊  後來我就被逮捕了還被問罪呢,0,2017/4/23,15:35
226232309-1,226232309,1,臺北醫學大學 保健營養學系,f,4月21日 09:08,廢文一篇(?,3,2017/4/21,09:08
226232309-2,226232309,2,臺北醫學大學,m,4月21日 09:54,看到畫面同時有一堆臺北醫學大學莫名的好笑?,7,2017/4/21,09:54
226232309-3,226232309,3,臺北醫學大學,m,4月21日 12:12,臺北醫學大學店,19,2017/4/21,12:12
226232309-4,226232309,4,臺北醫學大學,m,4月21日 13:15,Yeah ~~~~~北醫終於有廢文了~~~~~,9,2017/4/21,13:15
226232309-5,226232309,5,原PO - 臺北醫學大學,m,4月21日 13:36,耶～o(*////▽////*)q,7,2017/4/21,13:36
226232309-6,226232309,6,臺北醫學大學,m,4月21日 17:51,你是不是常常在廢板出沒~,1,2017/4/21,17:51
226232309-7,226232309,7,臺北醫學大學,m,4月21日 17:53,所以我們可以像成大一樣熱鬧嗎好羨慕啊( ?▽` )?,1,2017/4/21,17:53
226232309-8,226232309,8,臺北醫學大學,m,4月22日 05:33,臺北醫學大學生化學反應速度與激情,3,2017/4/22,05:33
226232309-9,226232309,9,原PO - 臺北醫學大學,m,4月23日 06:33,B6對耶(???)」很明顯嗎*?'(*?▽?*)'?,2,2017/4/23,06:33
226232309-10,226232309,10,原PO - 臺北醫學大學,m,4月23日 06:33,B7B8熱鬧熱鬧(>^ω^<),1,2017/4/23,06:33
226221030-1,226221030,1,臺北醫學大學 牙體技術學系,m,4月19日 19:54,鼻要這樣 大家和氣生財＞＜,2,2017/4/19,19:54
226221030-2,226221030,2,臺北醫學大學,m,4月19日 20:02,跟去年（今年）醫管有87分像還強迫學弟妹參加承上啟下，兩屆總召現在是室友呢?,20,2017/4/19,20:02
226221030-3,226221030,3,一個把回應刪除的同學,o,4月20日 04:55,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,0,2017/4/20,04:55
226221030-4,226221030,4,臺北醫學大學,f,4月20日 16:03,B2 蛤？？你是醫管的嗎為什麼我都沒有聽到什麼強迫學弟妹不是不想參加就可以不用參加嗎？？到底誰強迫你參加？？,3,2017/4/20,16:03
226221030-5,226221030,5,臺北醫學大學,f,4月21日 13:52,而且不想參加還要被逼繳錢,8,2017/4/21,13:52
226221030-6,226221030,6,臺北醫學大學,f,4月22日 18:23,之後會不會有醫管之夜的版???,3,2017/4/22,18:23
226221030-7,226221030,7,臺北醫學大學,m,4月23日 08:24,B6 跪求！！！！！,0,2017/4/23,08:24
226215427-1,226215427,1,臺北醫學大學 藥學系藥學組,f,4月18日 17:42,耶伊頭香?,1,2017/4/18,17:42
226215427-2,226215427,2,臺北醫學大學 藥學系,m,4月18日 19:57,學妹都讀到壞掉了??1003,6,2017/4/18,19:57
226215427-3,226215427,3,臺北醫學大學 藥學系藥學組,m,4月19日 03:03,學妹加油，覺得重修好痛苦??＿mediocre2,0,2017/4/19,03:03
226215427-4,226215427,4,臺北醫學大學 藥學系藥學組,m,4月19日 03:43,我好像知道妳是誰XD,3,2017/4/19,03:43
226215427-5,226215427,5,臺北醫學大學 藥學系,m,4月19日 03:43,大家加油,0,2017/4/19,03:43
226215427-6,226215427,6,臺北醫學大學,f,4月19日 10:00,現在的學妹怎麼這麼可愛XDDD,0,2017/4/19,00:00
226215427-7,226215427,7,臺北醫學大學,m,4月20日 13:19,大一菜...,0,2017/4/20,13:19
226215427-8,226215427,8,臺北醫學大學 藥學系,f,4月21日 18:28,B3 簽名檔太明顯然後學妹我看你限時還很擔心你484瘋ㄌ?,1,2017/4/21,18:28
226215427-9,226215427,9,原PO - 臺北醫學大學 藥學系,f,4月22日 07:58,B8  不過我應該是真ㄉ瘋ㄌ?菜逼八?不知道以後怎麼辦,0,2017/4/22,07:58
226215427-10,226215427,10,臺北醫學大學 藥學系,f,4月22日 11:23,你先解決有機ㄅ學姐陪你考QQBy B8,1,2017/4/22,11:23
226215427-11,226215427,11,臺北醫學大學 96醫學系,m,4月29日 01:37,讀書讀到壞掉了，50收～   （被踢飛,0,2017/4/29,01:37
226186885-1,226186885,1,臺北醫學大學,f,4月14日 16:20,請問是兩坪但是有沙發那個嗎?想知道發生過什麼???,1,2017/4/14,16:20
226186885-2,226186885,2,臺北醫學大學,f,4月14日 16:47,為何？？???,0,2017/4/14,16:47
226186885-3,226186885,3,臺北醫學大學 醫學系,m,4月14日 18:01,徐小姐?,0,2017/4/14,18:01
226186885-4,226186885,4,臺北醫學大學,f,4月14日 18:08,想知道!!之前有考慮過,0,2017/4/14,18:08
226186885-5,226186885,5,臺北醫學大學 醫學系,m,4月15日 07:01,徐小姐的山邊真的不要不要的,1,2017/4/15,07:01
226186885-6,226186885,6,原PO - 臺北醫學大學,f,4月15日 10:29,b1 哈哈 就超級很不負責任,0,2017/4/15,10:29
226186885-7,226186885,7,原PO - 臺北醫學大學,f,4月15日 10:29,b3 徐小姐有掛嗎 我不是說他~,0,2017/4/15,10:29
226186885-8,226186885,8,臺北醫學大學,f,4月15日 11:27,這…太模糊了???有沒有舉例啊…,0,2017/4/15,11:27
226186885-9,226186885,9,臺北醫學大學  ,f,4月16日 15:08,哪一個,0,2017/4/16,15:08
226133162-1,226133162,1,臺北醫學大學,m,4月7日 15:01,這就是為什麼北醫要創食安系的原因？,22,2017/4/7,15:01
226133162-2,226133162,2,臺北醫學大學,f,4月7日 15:45,衛生我覺得所有外食店都一樣糟XDDD反而是老闆態度真的有夠差,7,2017/4/7,15:45
226133162-3,226133162,3,臺北醫學大學,f,4月7日 15:57,可以去看看食物中毒的定義喔！我記得兩個人同時同地點吃到一樣的東西發生相似的反應基本上就是食物中毒喔！,0,2017/4/7,15:57
226133162-4,226133162,4,臺北醫學大學,m,4月7日 17:31,你是不是點原味牛？？,0,2017/4/7,17:31
226133162-5,226133162,5,臺北醫學大學,m,4月8日 02:15,我吃幾次是都沒問題啦不過旁邊那個10元壽司倒是吃到我拉肚子,1,2017/4/8,02:15
226133162-6,226133162,6,臺北醫學大學,f,4月8日 05:38,B2 無限贊同，服務態度真的不是很好。我也認為學校附近不少店舖的衛生都有待改進。原 po 的肚肚辛苦了。（拍拍）,4,2017/4/8,05:38
226133162-7,226133162,7,臺北醫學大學 護理學系,f,4月8日 10:14,我覺得那裏的員工好可憐 動不動就被老闆嚷嚷著要扣錢QQ,0,2017/4/8,10:14
226133162-8,226133162,8,臺北醫學大學,f,4月8日 12:59,我同學每吃必拉??,1,2017/4/8,12:59
226133162-9,226133162,9,臺北醫學大學,m,4月9日 01:51,每吃必拉+1...好像是豚骨啥毀的高湯真的油...,0,2017/4/9,01:51
226133162-10,226133162,10,臺北醫學大學 牙醫學系,m,4月13日 00:28,吃了一百次了吧沒印象拉過xD可能真的鐵胃ㄌ,0,2017/4/13,00:28
226133162-11,226133162,11,臺北醫學大學,m,4月27日 23:33,"北醫甘泉我覺得超噁心，他的地下室永遠有個怪味，他的湯頭會喝到喉嚨痛(大概喝到第三口就會痛/噁心反胃)，但是我同學都吃不出來到底是我的問題還是...~""~",0,2017/4/27,23:33
226116100-1,226116100,1,一個把回應刪除的同學,o,4月4日 17:31,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,0,2017/4/4,17:31
226116100-2,226116100,2,臺北醫學大學,m,4月5日 03:28,我完全沒看到申請的通知...怎麼就開始抽籤了...,0,2017/4/5,03:28
226116100-3,226116100,3,臺北醫學大學,f,4月5日 10:27,我只看到0.0………不知道多少???,0,2017/4/5,10:27
226089564-1,226089564,1,臺北醫學大學,m,3月31日 10:36,在後棟一樓有個印成績單的機器可以去看看喔,0,2017/3/31,10:36
226089564-2,226089564,2,臺北醫學大學 公共衛生學系,m,3月31日 11:24,前棟3樓有,0,2017/3/31,11:24
226089564-3,226089564,3,臺北醫學大學 保健營養學系,f,3月31日 14:49,可以自己到影印店列印學生資訊系統->操行成績看你要交的需不需要蓋印章要的話去前棟三樓 電梯門一開的那間,0,2017/3/31,14:49
226089564-4,226089564,4,臺北醫學大學 醫學系,f,3月31日 17:02,後棟一樓的機器好像印不出操行成績了唷要去前棟三樓的學輔中心找某個老師申請唷,0,2017/3/31,17:02
226089564-5,226089564,5,臺北醫學大學 藥學系,m,4月1日 04:58,上次去前棟三樓好像已經不給申請囉，都改電子化的樣子，方法如B3,0,2017/4/1,04:58
226089564-6,226089564,6,原PO - 臺北醫學大學,f,4月1日 13:06,B1 B2 B3 B4 B5 謝謝你們,1,2017/4/1,13:06
226089564-7,226089564,7,臺北醫學大學 呼吸治療學系,f,4月4日 02:22,可以去學生資訊系統列印ㄛ~再去學輔中心(前棟3F)蓋章~,0,2017/4/4,02:22
226085179-1,226085179,1,臺北醫學大學 護理學系,m,3月30日 16:36,666666666,0,2017/3/30,16:36
226085179-2,226085179,2,臺北醫學大學,m,3月30日 16:42,好像還只是住宿舍喔呵呵,0,2017/3/30,16:42
226085179-3,226085179,3,臺北醫學大學,m,3月30日 18:45,這之前新聞有報過啊,0,2017/3/30,18:45
226085179-4,226085179,4,臺北醫學大學 藥學系,m,3月30日 21:54,綠衣邪教你敢嘴?,5,2017/3/30,21:54
226085179-5,226085179,5,臺北醫學大學,f,3月31日 03:55,......,0,2017/3/31,03:55
226085179-6,226085179,6,臺北醫學大學,f,3月31日 04:49,但還是會爆滿啊 所以也沒什麼好嘴的吧,0,2017/3/31,04:49
226085179-7,226085179,7,臺北醫學大學,f,3月31日 09:51,不ey,0,2017/3/31,09:51
226085179-8,226085179,8,臺北醫學大學,m,3月31日 15:10,北醫貴族學校你不知道？,1,2017/3/31,15:10
226085179-9,226085179,9,臺北醫學大學,m,3月31日 16:40,少見多怪，想來的多的是,3,2017/3/31,16:40
226085179-10,226085179,10,臺北醫學大學,f,3月31日 18:11,來的都貴族小孩啊請醫師教去醫院見習上醫學系大五大六的課其他各種就不說了不了解就戰我也是ㄏㄏ啦要戰前多學習一下了解一下再戰比較 好喔^^相信您應該不只有嘴巴對吧>vO,8,2017/3/31,18:11
226085179-11,226085179,11,臺北醫學大學,m,4月1日 11:41,那些同學幫學校賺那麼多錢，應該爭取一些權益比較合理。這已經不太像學生社團，反而像企業化的營利組織，大量複製營隊為商品，但這樣本質到底是服務性社團還是服務業？我不是在批評，也許成立目的就是如此，只能說辛苦了，加油,15,2017/4/1,11:41
226085179-12,226085179,12,臺北醫學大學 醫學系,m,4月1日 11:51,本來就是校方BOT社團，我覺得沒必要干涉要幹嘛，雖然很匪夷所思但有需求才有供給嘛~不要影響到其他學生權益就好,3,2017/4/1,11:51
226085179-13,226085179,13,臺北醫學大學,m,4月1日 12:20,一個願打一個願挨你覺得貴可以不要來啊唉鳳買不起不會買0990喔,1,2017/4/1,12:20
226085179-14,226085179,14,一個把回應刪除的同學,o,4月1日 12:23,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,0,2017/4/1,12:23
226085179-15,226085179,15,臺北醫學大學,m,4月1日 17:21,"B12 "" 不要影響到其他學生權益就好 ""那可以麻煩邪教把原野社還回來嗎?那可以不要用空教室浪費電燈、冷氣 最後讓大家買單嗎?拿大家的學費搞個邪教的BOT我難過。",5,2017/4/1,17:21
226085179-16,226085179,16,臺北醫學大學,m,4月2日 02:53,B15想必你沒有了解，原本楓杏的辦公室做什麼用了吧！建議你了解之後在批評，道聽塗說來的意識形態我看還是省省吧！,5,2017/4/2,02:53
226085179-17,226085179,17,臺北醫學大學,f,4月2日 05:20,B15所以你是認真向學沒有翹課沒有浪費學費的人?講這種這麼沒有意義也沒有建設性的話倒不如念點書吧拿個書卷或者打工賺點錢吧你難過去旁邊難過,3,2017/4/2,05:20
226085179-18,226085179,18,臺北醫學大學,m,4月2日 05:22,B16 B17 護航的出現了呢不ey好啦你們開心就好喔啾咪>.^也不用扯什麼沒進去不知道啦,3,2017/4/2,05:22
226085179-19,226085179,19,一個把回應刪除的同學,o,4月3日 14:25,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,0,2017/4/3,14:25
226085179-20,226085179,20,臺北醫學大學,f,4月3日 14:33,覺得沒很賺阿～自己去打工又輕鬆又多錢，幹嘛為了ㄧ點電話補助款去委屈呢？沒目標就不要這麼勉強吧！呵,4,2017/4/3,14:33
226085179-21,226085179,21,臺北醫學大學,m,4月3日 15:23,B18 我是覺得你把對話紀錄拿出來揭瘡疤也沒有很高尚啦～楓杏團員說穿了也只是學校的工具，要嘴也是嘴學校吧？想法也是頗呵。把團員的對話紀錄拿來說嘴我也是笑笑，人家在社團裡活得開開心心乾你屁事。你覺得人家有錢拿很無恥，那你是不會一起去拿喔！人家也不犯法，人家也是半個寒暑假都在勞動啊。炮別人很簡單啦～但回頭看看自己，對方真的對你做了什麼嗎？就算有做什麼，你確定妳的砲口對準的是對的靶子嗎？,5,2017/4/3,15:23
226085179-22,226085179,22,臺北醫學大學,m,4月4日 08:18,B18 要退去跟他們團長講啊,3,2017/4/4,08:18
226085179-23,226085179,23,臺北醫學大學,m,4月5日 10:49,B15 原野社原本就打算要退出學校了喔，現在在美食街只是過渡期，之後怎麼樣還不曉得。教研一樓現在拿來弄保健系辦，所以才迫使楓杏搬去原本原野的地方，連原本的進推也搬去大安了，某方面來說他們也是損失者，並不是楓杏硬逼原野喔，這月經問題已經好幾次了。,4,2017/4/5,10:49
226085179-24,226085179,24,臺北醫學大學 醫務管理學系,m,4月5日 16:28,B23 講到大安就難過我們的系辦在那邊啊QQ,4,2017/4/5,16:28
226085179-25,226085179,25,臺北醫學大學 保健營養學系,f,4月7日 01:27,B23 不適系辦喔 是食品加工實驗室,1,2017/4/7,01:27
226085179-26,226085179,26,臺北醫學大學,f,4月11日 06:26,B25 醫管系辦在大安 不是問原本進推變啥,2,2017/4/11,06:26
226085179-27,226085179,27,臺北醫學大學 保健營養學系,f,4月11日 12:47,B26 呃…但是我是回 B23的第四句耶?,2,2017/4/11,12:47
226074765-1,226074765,1,臺北醫學大學,m,3月29日 06:43,哪一家???,3,2017/3/29,06:43
226074765-2,226074765,2,臺北醫學大學,f,3月29日 09:20,到底是哪一家我也好驚恐啊?,1,2017/3/29,09:20
226074765-3,226074765,3,臺北醫學大學 護理學系,f,3月29日 11:44,哪一家!!!,1,2017/3/29,11:44
226074765-4,226074765,4,臺北醫學大學,m,3月29日 13:14,太可怕了 明天趕快去吃學餐壓壓驚!!??,5,2017/3/29,13:14
226074765-5,226074765,5,原PO - 臺北醫學大學,m,3月29日 13:58,要說是哪一家嗎可是阿婆人很好欸哈哈 這樣好嗎,1,2017/3/29,13:58
226074765-6,226074765,6,臺北醫學大學,m,3月29日 14:16,怕你肚子餓給你補充蛋白質,0,2017/3/29,14:16
226074765-7,226074765,7,臺北醫學大學,f,3月29日 15:07,B5 這樣講我就知道是哪一家了???,2,2017/3/29,15:07
226074765-8,226074765,8,臺北醫學大學,f,3月29日 16:42,B5 你這樣說有人會不知道是哪家嗎,1,2017/3/29,16:42
226074765-9,226074765,9,臺北醫學大學 護理學系,m,3月29日 17:34,當做吃燒酒螺就好啦，別怕,0,2017/3/29,17:34
226074765-10,226074765,10,臺北醫學大學 醫學檢驗暨生物技術學系,m,3月29日 17:38,左1是吧,0,2017/3/29,17:38
226074765-11,226074765,11,原PO - 臺北醫學大學,m,3月30日 01:06,哈哈哈~我什麼都沒說~我絕對不是故意的o3o,0,2017/3/30,01:06
226074765-12,226074765,12,臺北醫學大學,m,3月30日 13:02,佛心阿婆QQ不過自從上次吃到蟲挑配菜時就不敢跟她說隨便夾了開始挑風險低的菜色-L-,1,2017/3/30,13:02
226074765-13,226074765,13,臺北醫學大學,m,3月30日 16:41,好X在不過說實在之前他的菜比較好，不知為何品質有點掉,0,2017/3/30,16:41
226074765-14,226074765,14,臺北醫學大學 醫學系,f,4月2日 13:21,B12 想知道什麼是風險低的菜色，以後多挑那些?,0,2017/4/2,13:21
226074765-15,226074765,15,臺北醫學大學 96醫學系,m,4月4日 18:28,表示沒農藥#騙自己 好自在,1,2017/4/4,18:28
