PID,Poster,Gender,Title,PDate,PCont,PLike,PReply
226089564,臺北醫學大學,f,操行成績,2017/3/31,請問成績的操行成績要怎麼申請，還是直接到學生學習系統裡列印，不過要去那個處室蓋章呢？謝謝,1,7
226085179,臺北醫學大學,m,求綠衣人八卦,2017/3/30,有沒有1天就要7200元的八卦?顆顆,19,27
226074765,臺北醫學大學,m,學餐這樣我真的吃不下去了,2017/3/29,一盤裡面一次有菜蟲?和蝸牛?畢竟是花椰菜 菜蟲?難免啦 我還可以算了但蝸牛是怎樣啊啊啊????????蝸牛欸是蝸牛欸蝸牛啊啊啊啊從我嘴裡吐出來的蝸牛啊啊啊啊???(╯°□°）╯︵ ???我好驚恐啊~~,30,15
226070607,臺北醫學大學,m,貓咪,2017/3/28,有沒有人知道貓咪發生什麼事情了 還有黑特到底在黑啥 沒跟到求解,6,6
226064857,臺北醫學大學 藥學系,m,有沒有醫綜大樓三樓的掛？,2017/3/27,已經三年級了，每次搭電梯都看到三樓的按鈕全黑，按不下去之前有一次爬樓梯經過，門也是鎖著的...有沒有人知道三樓到底是做什麼用的？,42,20
226062650,臺北醫學大學 藥學系藥學組,m,學校打工時數,2017/3/27,今天問姊姊怎麼這學期沒有寫時數單子姊姊就說這學期換成打卡了我開學到現在都沒打過卡欸???那之前的時數還算嗎???姊姊在忙就不好意思問她了,2,3
226061564,臺北醫學大學,f,北醫旁邊做臉,2017/3/27,不知道北醫的女孩們最近有沒有拿過一張做臉的傳單好像就在學校旁邊想問看看有沒有人去體驗過呢？,4,0
226052071,臺北醫學大學,f,(問)修改衣服,2017/3/25,北醫附近有沒有推薦修改衣服的店腿短，買褲子都需要給別人改?,2,4
226050193,臺北醫學大學,f,關於雲端空間,2017/3/25,請問學校給的雲端空間在畢業之後會收回去嗎我電腦方面超弱請大家救救,3,7
226038768,臺北醫學大學,f,求解 學費到底去哪了,2017/3/23,學費繳那麼多教務處說印講義有扣打Gan?????????我們都是上課講義又不會有老師亂放ppt讓我們印,21,4
226029680,臺北醫學大學,m,鼻子過敏的藥,2017/3/22,各位同學好，小弟我鼻子有過敏，嚴重的時候就會去看醫生，這次去看醫生，他們給我開的藥吃了會想睡覺，而且我覺得沒辦法集中精神看書長這樣他們的指示是早晚一顆，吃十四天可是我覺得我不能一直嗜睡，而且我需要能集中精神看書?，想先問專業的學長姐，這藥能否停吃呢（我吃了兩顆）Ps我想去看中醫?,6,11
226020865,臺北醫學大學,f,宅急便與阿寶?,2017/3/20,"對我也有投在黑特北醫,但我不甘寂寞想要有人來表達表達看法,於是再發到這好啦宅急便就是沒有阿寶有人緣就對了阿寶要不要收編吵成這樣,那宅急便?說牠比較有警戒心,EXM?被訓練出來咬貓的狗是有警戒心就逃得掉的?我也不是要叫小編或誰也去收編宅急便,說實話本來就是流浪貓,誰要帶回家養根本管不著,是大家把牠當成校貓,每個人都覺得自己是牠的擁有者所以現在有人要帶回去自己就開始心理不平衡了我只是覺得從以前開始宅急便就比阿寶不被重視,除了真的少數有在照顧宅急便的人,其他人也不用說自己多愛貓多擔心了(畢竟你不擔心宅急便發生什麼事嘛),你只是愛阿寶以及不爽自己以後看不到牠而已當然就當作我發發牢騷吧,搞不好宅急便反而覺得不被當動物園參觀,生活很自在呢",24,18
226019629,臺北醫學大學 藥學系藥學組,m,My2連線不安全?,2017/3/20,從昨天開始我登My2都會這樣之前沒有這種情況我用火狐不知道是不是瀏覽器的問題,2,1
225992834,臺北醫學大學 保健營養學系,m,尋找北醫人,2017/3/16,我在學餐撿到劉x澤的健保卡有人認識他嗎？,2,2
225940676,臺北醫學大學,f,學期成績與總成績,2017/3/8,哈囉各位這幾天成績剛公布我發現我學期成績排名跟總成績排名的數字不一樣想問大家知不知道這兩個成績排名到底差在哪rr小女子困擾很久了謝謝大家,5,6
225906407,臺北醫學大學,f,學校的貓貓?？,2017/3/2,這學年好像都沒看見那隻之前在杏春樓附近黑色的貓咪了，然後寒假回來發現教研大樓前面另一隻的貓咪的籃子也不在了，有人知道貓貓們都到哪裡了嗎？,7,6
225900712,臺北醫學大學,m,創立新社團,2017/3/1,各位好~我想創立社團但是擔心沒有人要參加QQ想請問大家有沒有人對於辯論有興趣的?高中有經驗的可以一起打比賽沒經驗的也可以藉這個機會學習邏輯和辯論的各種技巧喔,25,29
225842206,臺北醫學大學,f,資訊處,2017/2/20,今天看到前棟4樓在施工，想請問有人知道原本在那裡的資訊處有沒有遷移地點呢？  現在筆電的防毒軟體剛好到期了，必須要重新再下載一次QQ  。 謝謝。,3,6
225839970,臺北醫學大學,f,游泳檢定,2017/2/20,請問各位學長姐在大一沒去到游泳檢定 想請問游泳檢定好過嗎正在思考要不要直接去補測?(已爬文知道要考游泳技能和水中自救),3,9
225823176,臺北醫學大學,f,學雜費忘記繳了,2017/2/17,嗨~~~我忘記註冊了想請問大家學雜費忘記繳了該怎麼辦剩兩天就開學了假日好像沒有銀行~之前沒有這樣的經驗所以還蠻擔心的~有人可以救救我嗎,3,5
225807626,臺北醫學大學,f,北醫附近髮廊,2017/2/15,最近想換個新髮型但又不敢隨便碰雷…請問大家有沒推北醫附近納家髮廊勒？穴穴泥悶,5,7
225803924,臺北醫學大學,f,關於學期排名,2017/2/14,請問各位學長姐學期排名大概什麼時候會出來？小的今年大一不懂敬請見諒???,3,3
225779600,臺北醫學大學,f,忘了繳學費該怎麼辦？,2017/2/10,剛剛看了看記事本發現繳學費好像截止了??因為之前都有準時交所以不知道會怎樣還有什麼管道可以繳費嗎？,10,12
225758192,臺北醫學大學,f,醫管研究所,2017/2/7,想請問醫管的研究所學費大約是多少?評價如何？謝謝?,7,4
225757879,臺北醫學大學,f,重修&暑修～,2017/2/7,想問各位學長姐重修 是不是指一年後去跟學弟妹修一樣的課重修考 也是一年後考嗎？？？暑修是專門為不及格的人辦的嗎那暑修是上課加考試嗎對不起 我這個小大一的無知……希望有人願意回答???（這樣以後有學弟妹有需要也可以從這邊文的留言得知資訊）,6,1
225699530,臺北醫學大學,f,新年快樂,2017/1/27,各位前輩後輩同學朋友們大家新年快樂,38,4
225683015,選課雷達,i,#課程 #105上 張維揚 變態心理學,2017/1/25,【課程名稱】變態心理學【修課學年】105上【開課系所】通識【授課老師】張維揚　【推薦指數】4/5 分　? 評分方式分數不甜 但只要認真上課做出來的報告很好或是期末考考很高分就可以拿到90分以上的分數一開始的自我介紹會加分 出席率不占分期中報告每年都幾乎一樣只有案例主角名字會改 參考之前報告分數高的人應該分數不難拿期末考不難 有認真上課一定會 沒有認真上課考前讀一讀老師講義也可以會！　? 考題與作業型式期中報告是給一個case 要用老師教的分析法寫診斷跟治療期末考就是考老師講義跟上課教的東西 會有選擇跟手寫 手寫部分很像期中報告 會給一個case然後用課程的分析法寫出診斷和治療　? 其他補充這堂課主要介紹一些變態心理學的案例跟疾病特徵、治療方法強烈建議有修過普通心理學的人來上比較不吃力真的可以學到東西因為老師上課放的影片令人印象很深刻、老師的解說也讓我們可以立刻知道這個case的心理分析,13,2
225683014,選課雷達,i,#課程 #105上 唐功培 學習理論與實務,2017/1/25,【課程名稱】學習理論與實務【修課學年】105上【開課系所】通識【授課老師】唐功培　【推薦指數】4/5 分　? 評分方式不算出席率 期中好像也還好 期末報告最重要 還有每堂課都有小組作業回去交檔案　? 考題與作業型式第一堂課就分組，一組大概五六個人，期末要做出一個衛教方案，老師人還不錯上課不點名，只要自己組溝通好誰來上課就好，每週一個作業，課程中都在教學習理論的東西，要讓你套用在期末衛教方案裡的，期末上台報告小組為單位，其實不難，有點麻煩而已　? 其他補充不需要有基礎，老師講話慢慢地，很催眠,1,8
225683013,選課雷達,i,#課程 #105上 彭立忠 影像中的近代中國,2017/1/25,【課程名稱】影像中的近代中國【修課學年】105上【開課系所】通識【授課老師】彭立忠　【推薦指數】5/5 分　? 評分方式分數不太甜，沒有考試，上課要多分享想法，線上課堂討論版也要多多發文　? 考題與作業型式沒有考試，作業有小組參訪博物館、讀書心得　? 其他補充主要是欣賞關於近代中國歷史的影片，老師挑的片例都蠻不錯的，引領大家思考的內容也很深刻,1,0
225683012,選課雷達,i,#課程 #104下 陳俊霖 生態環保醫療,2017/1/25,"【課程名稱】生態環保醫療【修課學年】104下【開課系所】通識【授課老師】陳俊霖　【推薦指數】5/5 分　? 評分方式個人報告跟團體報告，一學期點幾次名,會先告訴你　? 考題與作業型式沒有考試，只有報告!　? 其他補充老師人很好！",2,3
225683011,選課雷達,i,＃課程 #105上 張國城 審議民主與新移民人權,2017/1/25,【課程名稱】審議民主與新移民人權【修課學年】105上【開課系所】通識【授課老師】張國城　【推薦指數】5/5 分　? 評分方式學期初的時候自己選1.考期末考（會給題庫準備）2.每週交反思3.擔任某次會議的專家上台報告都是直接佔100%偶爾點個名當加分　? 考題與作業型式1.選擇考期末考，學期間就沒有任何作業需要做，期末考全都是手寫題，不過有準備就不會難2.選擇寫反思，就每週上課交一頁A4紙本反思3.選擇擔任專家，針對某一議題回家深入研究，然後上台報告12分鐘（本學期是對廢18%優存的看法）　? 其他補充上課內容我覺得滿有收穫的，喚起我對公共議題、基本人權的關注，也引導我對一件事有更多思考面向還有每堂課老師都會回答反思裡頭同學提到的問題，時事的、搞笑的，老師都很願意回答（ex.對川普上任的看法or台灣是不是快被中共統一了or人生怎麼這麼難XD)很有意思的一堂課，而且分數甜到一個炸掉，我從來沒拿過這麼高分啊～～～???,13,3
225683010,選課雷達,i,#課程 #105上 范家?（主授老師） 國際志工與醫療合作,2017/1/25,【課程名稱】國際志工與醫療合作【修課學年】105上【開課系所】通識【授課老師】范家?（主授老師）　【推薦指數】5/5 分　? 評分方式每堂上課都會點名主要是期末的組報告和個人報告，都沒有考試　? 考題與作業型式期末報告占分比較重，要認真完成！報告內容：假設在寒暑假要帶隊做志工服務，設計出整個行程規劃（不限國內），有點類似企劃書的概念。平常上課請來的老師也都會和我們分享他們帶隊出國做服務的經驗，這門課其實可以學到不少！　? 其他補充每週的老師都很好，同學只要在台下乖乖的聽課就行了，有時還可以一邊做自己的事情！,0,0
225683009,選課雷達,i,#課程 #105上 劉玉華 社會服務功能與技巧,2017/1/25,【課程名稱】社會服務功能與技巧【修課學年】105上【開課系所】通識【授課老師】劉玉華　【推薦指數】5/5 分　? 評分方式個人學習：50%隨堂單元主題學習單和課堂參與小組學習：50%學期社會服務行動方案計畫設計和成果（實際行動）　? 考題與作業型式作業很少，只有在有特定活動結束後才會要我們寫心得，平時不需要寫反思。最重要的是學期末的實際社會服務行動　? 其他補充老師人很好，還給同學們幾次沒有到課的時間，老師說不要太誇張就好,4,0
225683008,選課雷達,i,#課程 #105上 邱婉淳 食品與健康,2017/1/25,【課程名稱】食品與健康【修課學年】105上【開課系所】通識【授課老師】邱婉淳　【推薦指數】5/5 分　? 評分方式期中報告蠻重要的，一定要交不然會被當，是關於食品的報告，兩面書面而已很簡單，期末是考試，不過佔分不多，如果裸考學期還是可以拿85以上，有準備一下可以拿90以上　? 考題與作業型式期中就紙本報告，兩面關於食品的題目　? 其他補充課程關於食品，什麼大蒜啊，健康飲食的，而且很多遠距,6,4
225683007,選課雷達,i,＃課程 #105上 吳哲硯 電影英文,2017/1/25,【課程名稱】電影英文【修課學年】105上【開課系所】通識【授課老師】吳哲硯　【推薦指數】4/5 分　?? 評分方式普通 偶爾點名 沒點到會斟酌扣分　?? 考題與作業型式期中 聽影片寫英文字幕期末 寫一篇關於電影的分析或心得　?? 其他補充課程比較偏向電影手法技巧的分析還有場景的構圖,6,5
225671175,臺北醫學大學 藥學系,f,有機重修問題,2017/1/23,不好意思想問一下有學長姊二上有機被當重修過嗎....我查課表發現三上跟四上的課都會衝堂因為只有我們學年課所以好像也不會單單開暑修班..想請問有經驗的學長姐是怎麼解決這個問題的呢還是真的只能延畢??,5,8
225657232,選課雷達,i,＃課程 #105上 王承怡 旅遊英文,2017/1/21,【課程名稱】旅遊英文【修課學年】105上【開課系所】通識【授課老師】王承怡　【推薦指數】4/5 分　? 評分方式每堂課都點名 作業很簡單 期中一個團體報告 期末一個戲劇表演 都不難 分數也滿甜　? 考題與作業型式作業是完成課本題目 很簡單期中是團體報告期末是戲劇表演 都很好準備　? 其他補充老師人超級好 但是每堂點名 滿常點人回答問題 但不難,4,2
225657231,選課雷達,i,＃課程 #105上 胡蘊玉 台灣文學,2017/1/21,【課程名稱】台灣文學【修課學年】105上【開課系所】通識【授課老師】胡蘊玉　【推薦指數】3/5 分　? 評分方式每周反思要寫，偶爾課堂會有zuvio問答測驗(順便當點名)。　? 考題與作業型式每周反思，分三次交。沒有期中期末。　? 其他補充老師大多用PPT講解台灣文學的大小事，不用基礎，上課很輕鬆，老師人很喜歡聊天。偶爾會有看影片時間。關於每個時代都會有一節課討論文本，一定要記得看，因為老師會抽人問，沒看她會非常生氣。,1,1
225657230,選課雷達,i,＃課程 #105上 陳今偉（多位老師合開） 意識科學哲學,2017/1/21,【課程名稱】意識科學哲學【修課學年】105上【開課系所】通識【授課老師】陳今偉（多位老師合開）　【推薦指數】3/5 分　? 評分方式期中期末各40% 每堂課上完要問三個問題繳交回去英文授課為主　? 考題與作業型式大致上就是每堂課會填三個問題回去　? 其他補充課程很有深度 基本上都聽不太懂,4,2
225657229,選課雷達,i,＃課程 #104上 李文綺 生物資訊學,2017/1/21,【課程名稱】生物資訊學【修課學年】104上【開課系所】通識【授課老師】李文綺　【推薦指數】1/5 分　? 評分方式非常不甜，每節考試，還要反轉教室　? 考題與作業型式每人有一個專題要翻轉教室　? 其他補充不好,2,2
225657228,選課雷達,i,#課程 #105上 楊明達 游泳,2017/1/21,【課程名稱】游泳【修課學年】105上【開課系所】通識【授課老師】楊明達　【推薦指數】5/5 分　? 評分方式老師人超好，強調互相尊重　? 考題與作業型式很輕鬆，就游泳啊　? 其他補充在基礎班會教重要的水中自救，進階則是教蛙式及修正動作,3,11
225657227,選課雷達,i,#課程 #105上 陳迪群 日語(二),2017/1/21,【課程名稱】日語(二)【修課學年】105上【開課系所】通識【授課老師】陳迪群　【推薦指數】3/5 分　? 評分方式上課前會叫同學上台書寫之前教過的部分，然後會點人口頭將中文翻譯成日文，考試也很難，單字一定要背熟！如果對日文沒有很大的興趣建議修廖老師的課　? 考題與作業型式就和前面寫的一樣那些是平時成績，期末還會有一次考試　? 其他補充其實老師很健談，只是希望大家可以好好學習日文才會以那樣的方式上課,1,1
225657226,選課雷達,i,#課程 #105上 陳瑞玲 中國藝術史,2017/1/21,【課程名稱】中國藝術史【修課學年】105上【開課系所】通識【授課老師】陳瑞玲　【推薦指數】4/5 分　? 評分方式課程上會教授許多很中國傳統藝術相關的課程，很紮實。而在學期中要完成組別報告及個人報告各一份，組別報告有點難度，但有完成分數大概都在80以上，算是很甜很涼的課　? 考題與作業型式個人作業在期中左右會出，大概就是問問去故宮的感覺和內部一些擺放的改進建議。組別報告是全組討論一件作品並且做出報告一份　? 其他補充老師擅長中國畫，在那部分會帶一些仿品給同學看，而如果在作業上有任何問題都可以向老師尋求協助,1,1
225657225,選課雷達,i,#課程 #105上 林佳靜 死亡學,2017/1/21,【課程名稱】死亡學【修課學年】105上【開課系所】通識課【授課老師】林佳靜　【推薦指數】5/5 分　? 評分方式一整個學期只有兩份作業要交，就是遺囑和看影片/書籍心得分享。這兩份作業佔蠻重的，再來就是出席率了，每次上課都會點名（真的每次都點名）　? 考題與作業型式沒有考試，只有作業。遺囑方面也是看自己喜歡怎麼寫就怎麼寫，可以寫在一張紙上，可以用電腦打。　? 其他補充林佳靜老師人超好，但不太常來上課，會有其他老師來代課教我們關於死亡的其他東西。,9,1
225657224,選課雷達,i,#課程 #105上 胡蘊玉 台灣文學,2017/1/21,【課程名稱】台灣文學【修課學年】105上【開課系所】通識【授課老師】胡蘊玉　【推薦指數】2/5 分　? 評分方式老師很喜歡反思，基本上是寫三個禮拜的反思然後一次交三篇。基本上很像歷史課。老師會帶一些符合課程內容的書來班上，想要看的可以登記借閱。每次的主題結束的時候老師都會挑跟主題有關的電影。點名非常不固定。微涼微甜。　? 考題與作業型式不考試。靠反思跟小測驗題評分。小測驗分兩種。一種是老師每次的主題都會給一些文章，會有一堂課先用zuvio 做一些跟文章有關的題目再討論文章。主要是想看同學有沒有認真看完。第二種小測驗則是看完電影之後用zuvio 回答跟電影有關的問題。基本上都是選擇題。　? 其他補充就當作在聽歷史課吧。反思老師喜歡看有自己想法的反思，可以像在寫部落格一樣。畫圖、表情符號、os都可以寫。,1,0
225657223,選課雷達,i,#課程 #105上 簡士捷 希臘羅馬神話,2017/1/21,【課程名稱】希臘羅馬神話【修課學年】105上【開課系所】通識課程【授課老師】簡士捷　【推薦指數】5/5 分　? 評分方式只有出席率，報告，作業超甜超涼有去上課分數就80起跳了吧本人混混學生，作業從沒交過（想補交時期限已過QQ)老師非常用心教學，上課常要小組討論問題並上台分享，中英文都ok，作業就要全英文！對於喜歡神話故事的同學真的非常推～我很喜歡這個課程　? 考題與作業型式沒考試作業就每次上課最後老師會丟兩三題反思，小組會在課堂上先討論，回家再自己打成電子檔上傳就ok　? 其他補充老師人真的超好，好到你捨不得翹課，有任何問題去問他也會很熱心解答,4,1
225657222,選課雷達,i,#課程 #104上 徐碧霞 電影英文與流行文化,2017/1/21,【課程名稱】電影英文與流行文化【修課學年】104上【開課系所】英文通識【授課老師】徐碧霞　【推薦指數】4/5 分　? 評分方式期中考、期末影片、出席率、上課發言　? 考題與作業型式考試考電影裡的單字，老師挖空格選單字進去。期末影片是自己寫劇本拍大概五分鐘的短片　? 其他補充時不時會看一整堂課的電影！下禮拜就是討論電影的內容。也會針對一些主題提問請同學回答。老師人很好很嗨，她很喜歡同學們上課多發言，基本上分數都可以在八十幾,2,1
225657221,選課雷達,i,#課程 #104下 廖兆陽 日文(一),2017/1/21,【課程名稱】日文(一)【修課學年】104下【開課系所】通識【授課老師】廖兆陽　【推薦指數】3/5 分　? 評分方式期中期末各50%，但考期末考的時候老師說期末及格就給你及格了　? 考題與作業型式期中五十音平假片假配對，簡單名詞、動詞、形容詞。期末考句子重組、會話、課本單字　? 其他補充日文(一)就是給完全沒有日文基礎的同學修的喔！老師上課完全不會點名也不會有小考，所以完全要靠自己的努力讀下去。老師還沒教五十音之前就在黑板上寫了一堆日文根本看不懂也不會寫?不過老師人很好啦～如果想學日文又可以很認真唸書的同學一定要選的～,3,0
225657220,選課雷達,i,#課程 #104下(日一)、105上(日二) 廖兆陽 日文(廖兆陽),2017/1/21,【課程名稱】日文(廖兆陽)【修課學年】104下(日一)、105上(日二)【開課系所】通識選修【授課老師】廖兆陽　【推薦指數】5/5 分　? 評分方式期中期末除二　? 考題與作業型式考題就考試前一節，老師會說題型　? 其他補充老師教得很好、淺顯易懂,1,0
225657219,選課雷達,i,#課程 #102上 林文琪 古琴與哲學實踐,2017/1/21,【課程名稱】古琴與哲學實踐【修課學年】102上【開課系所】通識中心【授課老師】林文琪　【推薦指數】4/5 分　? 評分方式出席率跟技術實作各佔15%，佔最重的就是反思寫作了佔了50%，但如果都有寫老師也不會怎麼刁難，還有個個人報告應該是期末考彈古琴那個吧，跟一些其他雜項各佔10%　? 考題與作業型式考試只有學期末最後一堂要考彈上課教過的其中一首古琴曲子，都蠻簡單的，可自己選要彈哪一首　? 其他補充上課是兩個小時分兩個部分，一小時上哲學課（禮記），我覺得有點無聊，但如果你喜歡古文，也很喜歡跟老師討論一些想法，就可能會蠻喜歡這個部分。而另一小時是上古琴課，超酷的！古琴跟古箏不一樣，很有古時候樂器的味道，是很難得可以學的一種樂器。,1,1
225657218,選課雷達,i,#課程 #105上 劉彥蘭 新環境心理學,2017/1/21,"【課程名稱】新環境心理學【修課學年】105上【開課系所】通識【授課老師】劉彥蘭　【推薦指數】5/5 分　? 評分方式期中期末交報告,非常甜~　? 考題與作業型式就交報告~但期中要上臺報告~　? 其他補充老師人很好~",2,9
225657217,選課雷達,i,#課程 #105上 賴淑芳 歌劇賞析,2017/1/21,【課程名稱】歌劇賞析【修課學年】105上【開課系所】通識【授課老師】賴淑芳　【推薦指數】4/5 分　? 評分方式分數還沒出來 不過應該是絕對很甜的如果你是醫牙的男生必定甜如果你是其他系的男生也甜女生比男生稍低 不過不會糟到哪去　? 考題與作業型式期中是分組演歌劇 只要把老師對其他組的改進部分的都做好 不要在臺上搞笑老師的碎碎念就會少一點期末是才藝表演 只要有表演什麼都好（要記得來表演）　? 其他補充老師其實就是喜歡高的斜劉海醫牙男生 所以你是男生的話選一下然後不點名所以不太需要去,3,0
225657216,選課雷達,i,#課程 #104上 劉玉華 金瓶梅與情愛關係探討,2017/1/21,【課程名稱】金瓶梅與情愛關係探討【修課學年】104上【開課系所】通識【授課老師】劉玉華　【推薦指數】5/5 分　? 評分方式甜又紮實 認真聽可以學到東西 不點名（但最近好像偶爾會點）不過沒考試 就跟其他經典課程一樣每週寫反思就行了 好像幾乎不會當人　? 考題與作業型式一組一學期一次報告 就看書帶大家導讀就行每堂根據課程內容寫反思其實不用去上課 看老師講義寫就行了　? 其他補充這堂課沒有很著重金瓶梅的內容 反而重於情愛關係的內容可以學到老師對於現代情侶、夫妻相處之道 跟如何應對危險情人等等老師還會請自己的情感專家朋友來演講,4,0
225657215,選課雷達,i,#課程 #105上 潘力誠 微積分,2017/1/21,【課程名稱】微積分【修課學年】105上【開課系所】保健選修【授課老師】潘力誠　【推薦指數】4/5 分　? 評分方式小考10%，期中40%，期末50%，有時候小考會當加分用，題目是全手寫，但老師會給考古，基本上都是考古，有讀就能拿高分！！！　? 考題與作業型式不用交作業，也不點名，小考記得去考，期中期末看考古就可　? 其他補充上課主要是上微積分，把高中的東西加深加廣，但不需要太緊張，因為老師會從頭教，課後也可以去問老師，或跟僑生一起上課後補課,2,0
225631844,選課雷達,i,#課程 #104下 邱佳慧 論語與現代社會,2017/1/16,【課程名稱】論語與現代社會【修課學年】104下【開課系所】通識教育中心【授課老師】邱佳慧　【推薦指數】5/5 分　? 評分方式反思40%平常30%（出席）期末團體報告20%課堂表現10%（老師的印象分數）基本上分數比重有調整空間老師很民主可以讓我們投票表決　? 考題與作業型式課堂反思*10篇左右孔廟參訪+決戰春秋影片心得　? 其他補充老師很認真 可以在這堂課中把論語和大學生活做連結老師反思批改得很認真相信大家都有基本的儒家常識 修這門課你會有很不一樣的收穫,6,2
225631843,選課雷達,i,#課程 #105上 韓德彥 性別與心理健康,2017/1/16,【課程名稱】性別與心理健康【修課學年】105上【開課系所】通識【授課老師】韓德彥【推薦指數】5/5 分? 評分方式一堆小作業 大概都5%10%上課舉手發言會加分然後一些上臺報告 不用花太多時間準備講一講都有90起跳? 考題與作業型式個人反思4次一些作業執行後的心得期末報告 pot 上臺? 其他補充探討兩性議題藉上課作業理由跟異性約會探討一般人不太會在日常生活中探討的害羞話題看一些影片 討論,2,7
225631842,選課雷達,i,#課程 #105上 許怡欣 醫所寓言,2017/1/16,【課程名稱】醫所寓言【修課學年】105上【開課系所】通識【授課老師】許怡欣【推薦指數】5/5 分? 評分方式個人報告60%、作業30%、其他10%? 考題與作業型式有2個個人報告，依照上課指示和運用教的內人應該不難；作業為課後心得，3到5句即可；其他為個人自評分數? 其他補充老師上課很有趣，課程內容滿多元的～這學期有請一位理財專家來授課部分課程,1,1
225631841,選課雷達,i,#課程 #104下 張維揚 變態心理學,2017/1/16,【課程名稱】變態心理學【修課學年】104下【開課系所】通識【授課老師】張維揚【推薦指數】4/5 分? 評分方式期中50%(報告)、期末50%(考試)? 考題與作業型式期中報告為分析一實際案例，老師上課會教你怎麼寫；期末考試為上課教過的內容，有選擇跟問答題? 其他補充簡介各種變態心理之疾病，老師本身即為諮商師，上課會講解許多案例以及播放相關疾病之影片,2,1
225631840,選課雷達,i,#課程 #104下 何建志 醫療法律與醫學倫理,2017/1/16,【課程名稱】醫療法律與醫學倫理【修課學年】104下【開課系所】通識【授課老師】何建志【推薦指數】2/5 分? 評分方式出席30%、期中期末各35%考試會先給題庫～平常很涼但一到考試就會很痛苦QQ? 考題與作業型式考試有是非、選擇、問答題? 其他補充簡介醫療相關法律與醫療倫理議題,0,3
225631839,選課雷達,i,#課程 #105上 劉玉華 情緒管理,2017/1/16,【課程名稱】情緒管理【修課學年】105上【開課系所】通識【授課老師】劉玉華【推薦指數】4/5 分? 評分方式報告跟出席? 考題與作業型式無考試、團體報告? 其他補充老師上課說不僅傳授知識也交面對問題應該如何正向面對,1,0
225631838,選課雷達,i,#課程 #105上 張偉玨 中醫思維與感性認識,2017/1/16,"【課程名稱】中醫思維與感性認識【修課學年】105上【開課系所】通識【授課老師】張偉玨　【推薦指數】5/5 分　? 評分方式出席率20%作業24%隨堂考6%期末報告10%期末考20%課程日誌 反思寫作20%  　? 考題與作業型式有幾份反思,中醫的實際作業：期末問診單.望聞問切的單...　? 其他補充這堂課的老師很認真，內容很精彩，老師課程設計的很易懂，對於完全不懂中醫的人都可以一學期下來搞懂中醫的基礎概念，整堂課從天干地支到五行都有涉略，把脈、觀象、拔罐等等也都有，非常值得學習！！ 是一門好課！",2,3
